Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Sub-Saharan Africa,rural,Sanitation,2020,9.15424,58531009.49579,Limited service
sdg,Sub-Saharan Africa,urban,Sanitation,2020,31.69574,144208847.09085,Limited service
sdg,Sub-Saharan Africa,total,Sanitation,2020,17.98697,196843256.03738,Open defecation
sdg,Sub-Saharan Africa,rural,Sanitation,2020,26.99366,172593960.12544,Open defecation
sdg,Sub-Saharan Africa,urban,Sanitation,2020,5.32977,24249295.35084,Open defecation
sdg,Sub-Saharan Africa,total,Sanitation,2020,21.06407,230517943.27581,Safely managed service
sdg,Sub-Saharan Africa,rural,Sanitation,2020,19.35087,123726938.89775,Safely managed service
sdg,Sub-Saharan Africa,urban,Sanitation,2020,23.47165,106791005.01638,Safely managed service
sdg,Sub-Saharan Africa,total,Sanitation,2020,30.79459,337005359.78331,Unimproved
sdg,Sub-Saharan Africa,rural,Sanitation,2020,40.91884,261629759.15642,Unimproved
sdg,Sub-Saharan Africa,urban,Sanitation,2020,16.56684,75375596.47003,Unimproved
sdg,Sub-Saharan Africa,total,Drinking water,2020,34.63138,378993880.2182,Basic service
sdg,Sub-Saharan Africa,rural,Drinking water,2020,35.5811,227500956.76763,Basic service
sdg,Sub-Saharan Africa,urban,Drinking water,2020,33.29671,151492924.10222,Basic service
sdg,Sub-Saharan Africa,total,Drinking water,2020,12.87426,140891447.74003,Limited service
sdg,Sub-Saharan Africa,rural,Drinking water,2020,17.0097,108757841.83258,Limited service
sdg,Sub-Saharan Africa,urban,Drinking water,2020,7.06266,32133605.74959,Limited service
sdg,Sub-Saharan Africa,total,Drinking water,2020,30.02515,328584963.68409,Safely managed service
sdg,Sub-Saharan Africa,rural,Drinking water,2020,13.3063,85078738.44538,Safely managed service
sdg,Sub-Saharan Africa,urban,Drinking water,2020,53.52037,243506227.65686,Safely managed service
sdg,Sub-Saharan Africa,total,Drinking water,2020,6.84228,74879525.80332,Surface water
sdg,Sub-Saharan Africa,rural,Drinking water,2020,10.8924,69644581.35621,Surface water
sdg,Sub-Saharan Africa,urban,Drinking water,2020,1.15059,5234944.16767,Surface water
sdg,Sub-Saharan Africa,total,Drinking water,2020,15.62694,171015818.05544,Unimproved
sdg,Sub-Saharan Africa,rural,Drinking water,2020,23.2105,148404902.92754,Unimproved
sdg,Sub-Saharan Africa,urban,Drinking water,2020,4.96966,22610910.91032,Unimproved
